
 S_max   P_max  K01    mu1    mu2    mu3    mu4 
-7.2387 0.0034 0.8242 0.0100 0.0600 0.0700 0.9667 
-8.4756 0.0362 0.9512 0.0100 0.0600 0.0700 1.0333 
-0.5463 0.0023 0.1549 0.0100 0.0600 0.0700 1.1000 
-8.8951 0.0435 0.9939 0.0100 0.0600 0.0700 1.1667 
-8.5845 0.0256 0.9610 0.0100 0.0600 0.0700 1.2333 
-8.7792 0.0028 0.9782 0.0100 0.0600 0.0700 1.3000 
-1.9017 0.0030 0.2905 0.0100 0.0600 0.0700 1.3667 
-8.5938 0.0032 0.9597 0.0100 0.0600 0.0700 1.4333 
-6.4975 0.0034 0.7501 0.0100 0.0600 0.0700 1.5000 
-8.9756 0.0099 0.9986 0.0100 0.0600 0.0800 0.5000 
-8.8212 0.0137 0.9835 0.0100 0.0600 0.0800 0.5667 
-8.9529 0.0167 0.9970 0.0100 0.0600 0.0800 0.6333 
-8.9736 0.0193 0.9993 0.0100 0.0600 0.0800 0.7000 
-8.9756 0.0210 0.9997 0.0100 0.0600 0.0800 0.7667 
-8.3659 0.0103 0.9376 0.0100 0.0600 0.0800 0.8333 
-8.7750 0.0296 0.9805 0.0100 0.0600 0.0800 0.9000 
-1.3088 0.0030 0.2312 0.0100 0.0600 0.0800 0.9667 
-8.9088 0.0404 0.9949 0.0100 0.0600 0.0800 1.0333 
+0.0026 0.0026 0.0338 0.0100 0.0600 0.0800 1.1000 
+0.0028 0.0028 0.0734 0.0100 0.0600 0.0800 1.1667 
-8.7008 0.0177 0.9718 0.0100 0.0600 0.0800 1.2333 
-8.8347 0.0433 0.9878 0.0100 0.0600 0.0800 1.3000 
-8.6132 0.0035 0.9617 0.0100 0.0600 0.0800 1.3667 
+0.0037 0.0037 0.0361 0.0100 0.0600 0.0800 1.4333 
-0.1053 0.0039 0.1109 0.0100 0.0600 0.0800 1.5000 
-7.9390 0.0107 0.8950 0.0100 0.0600 0.0900 0.5000 
-8.8956 0.0137 0.9909 0.0100 0.0600 0.0900 0.5667 
-8.9644 0.0163 0.9981 0.0100 0.0600 0.0900 0.6333 
-8.9642 0.0215 0.9986 0.0100 0.0600 0.0900 0.7000 
+0.0018 0.0018 0.0273 0.0100 0.0600 0.0900 0.7667 
-8.8587 0.0090 0.9868 0.0100 0.0600 0.0900 0.8333 
-8.9628 0.0216 0.9984 0.0100 0.0600 0.0900 0.9000 
-8.5225 0.0115 0.9534 0.0100 0.0600 0.0900 0.9667 
-8.0612 0.0027 0.9064 0.0100 0.0600 0.0900 1.0333 
-0.0481 0.0043 0.1052 0.0100 0.0600 0.0900 1.1000 
-8.9191 0.0405 0.9960 0.0100 0.0600 0.0900 1.1667 
-0.8702 0.0034 0.1874 0.0100 0.0600 0.0900 1.2333 
+0.0036 0.0036 0.0301 0.0100 0.0600 0.0900 1.3000 
-8.6969 0.0039 0.9701 0.0100 0.0600 0.0900 1.3667 
+0.0042 0.0042 0.0183 0.0100 0.0600 0.0900 1.4333 
-8.7182 0.0044 0.9723 0.0100 0.0600 0.0900 1.5000 
-8.9491 0.0109 0.9960 0.0100 0.0600 0.1000 0.5000 
-8.7482 0.0146 0.9763 0.0100 0.0600 0.1000 0.5667 
-8.8689 0.0182 0.9887 0.0100 0.0600 0.1000 0.6333 
-8.7370 0.0210 0.9758 0.0100 0.0600 0.1000 0.7000 
-8.8953 0.0244 0.9920 0.0100 0.0600 0.1000 0.7667 
+0.0022 0.0022 0.0508 0.0100 0.0600 0.1000 0.8333 
-8.5793 0.0147 0.9594 0.0100 0.0600 0.1000 0.9000 
-8.9187 0.0390 0.9958 0.0100 0.0600 0.1000 0.9667 
+0.0030 0.0030 0.0601 0.0100 0.0600 0.1000 1.0333 
+0.0032 0.0032 0.0361 0.0100 0.0600 0.1000 1.1000 
-8.9160 0.0443 0.9960 0.0100 0.0600 0.1000 1.1667 
-8.9523 0.0301 0.9982 0.0100 0.0600 0.1000 1.2333 
-8.9113 0.0040 0.9915 0.0100 0.0600 0.1000 1.3000 
+0.0043 0.0043 0.0087 0.0100 0.0600 0.1000 1.3667 
+0.0046 0.0046 0.0562 0.0100 0.0600 0.1000 1.4333 
-8.8199 0.0910 0.9911 0.0100 0.0600 0.1000 1.5000 
-7.8542 0.0114 0.8866 0.0100 0.0600 0.1100 0.5000 
-8.9608 0.0168 0.9978 0.0100 0.0600 0.1100 0.5667 
-8.9133 0.0171 0.9930 0.0100 0.0600 0.1100 0.6333 
-8.9550 0.0219 0.9977 0.0100 0.0600 0.1100 0.7000 
-8.8526 0.0259 0.9878 0.0100 0.0600 0.1100 0.7667 
-8.9268 0.0288 0.9956 0.0100 0.0600 0.1100 0.8333 
+0.0027 0.0027 0.0257 0.0100 0.0600 0.1100 0.9000 
